"Dialogs boxes","Diálogos"
"Enable in backend","Activar en el back-office"
"Enable in frontend","Activar sobre el front-office"
"Use python-pil and python-scour as image processor","Usar python-pil y python-scour como procesador de imagen"
"Used even if the apijs is disabled.","Usado aunque el apijs esté desactivado."
"Check browser version","Comprobar la versión del navegador"
"Firefox 36+, Chrome 31+, Opera 19+, Edge 16+, Safari 9+ (checks even if the apijs is disabled).","Firefox 36+, Chrome 31+, Opera 19+, Edge 16+, Safari 9+ (verifica incluso si el apijs esta desactivado)."
"Remove cached images","Borrar las imágenes almacenadas en caché"
"When removing a <strong>product image</strong> or a <strong>product</strong>, a <strong>category image</strong> or a <strong>category</strong>, a <strong>wysiwyg image</strong> (remove even if the apijs is disabled).","Durante la supresión de una <strong>imagen producto</strong> o de un <strong>producto</strong>, de una <strong>imagen categoria</strong> o de una <strong>categoria</strong>, de una <strong>imagen wysiwyg</strong> (suprime aunque el apijs esté desactivado)."
"Remove store view id","Retirar la id de la vista de tienda"
"For <strong>catalog/product/cache</strong> directory (remove even if the apijs is disabled).","Para la carpeta <strong>catalog/product/cache</strong> (retira aunque el apijs esté desactivado)."
"Automatically display the gallery tab","Mostrar automáticamente la pestaña de la galería"
"When displaying the modification page of a product in the backend.","En el momento de la publicación de la página de modificación de un producto en el back-office."
"Photo gallery","Galería de fotográfias"
"Update on hover","Actualización al pasar con el ratón"
"Main picture","Foto principale"
"Thumbnails","Miniaturas"
"INCOMPLETE MODULE INSTALLATION","INSTALLACIÓN INCOMPLETA DEL MODULO"
"There is conflict (<em>%s</em>).","Hay un conflicto (<em lang=""en"">%s</em>)."
"[strong]Warning[/strong], no files were saved:","[strong]Atención[/strong], ningún fichero ha sido registrado:"
"[strong]Warning[/strong], the following files were not saved:","[strong]Atención[/strong], los siguientes archivos no se han registrado:"
"[strong]Warning[/strong], the following file was not saved:","[strong]Atención[/strong], el siguiente fichero no ha sido registrado:"
"[strong]However[/strong], the following files were successfully saved:","[strong]Sin embargo[/strong], los siguientes archivos se han registrado correctamente:"
"[strong]However[/strong], the following file was successfully saved:","[strong]Sin embargo[/strong], el siguiente fichero se ha registrado correctamente:"
"<strong>Warning:</strong> your browser <strong>%s %s</strong> is outdated, please <a %s>upgrade your browser</a>.","<strong>Atención:</strong> su navegador <strong>%s %s</strong> es obsoleto, por favor <a %s>actualice su navegador</a>."
"Add one or multiple files","Añadir uno o varios ficheros"
"PHP manual","Manual de PHP"
"It is important to note that just because the mail was accepted for delivery, it doesn't mean the mail will actually reach the intended destination.","Es importante tener en cuenta que si el correo es aceptado para su envío, no quiere decir que el correo haya alcanzado el destino indicado."
"Example %d","Ejemplo %d"
"Surprise!","¡Sorpresa!"
"You are watching this video without proprietary extension thanks to the new [em]video[/em] tag included in the [strong]HTML 5[/strong] language.","Está viendo este vídeo que no tiene una extensión reconocible gracias a la etiqueta del [em]vídeo[/em] incluida en el lenguaje [strong]HTML 5[/strong]."
"Website: %s","Sitio Web: %s"
"You can use one of the following lines to test this module on the frontend:","Usted puede utilizar una de las siguientes líneas para comprobar que este módulo se encuentra en front-office:"
"Directories size:","Tamaño de las carpetas:"
"(without cache)","(sin la caché)"
"clear cache","vaciar la caché"
"Label and Sort order","Etiqueta y Orden de clasificación"
"Save images","Grabar las imágenes"
"The added or removed images are automatically saved.","Las imágenes añadidas o eliminadas se graban automáticamente."
"Maximum images width and height is <a %s>%s x %s pixels</a>.","La anchura y la altura máximas de las imágenes son de <a %s>%s x %s píxeles</a>"
